date,weight
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-26,1.0
2018-04-27,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-04,1.0
2018-05-07,0.0
2018-05-08,0.6116632464467381
2018-05-09,0.3044692129183839
2018-05-10,0.28541522977150635
2018-05-11,1.0
2018-05-14,0.26606094952603365
2018-05-15,0.20386333741211127
2018-05-16,0.0
2018-05-17,1.0
2018-05-18,1.0
2018-05-21,0.21887820876385244
2018-05-22,0.0
2018-05-23,0.0
2018-05-24,1.0
2018-05-25,0.2755638137371258
2018-05-28,0.45323015903307073
2018-05-29,0.0
2018-05-30,0.3380553199550105
2018-05-31,0.0
2018-06-01,1.0
2018-06-04,1.0
2018-06-05,0.0
2018-06-06,1.0
2018-06-07,1.0
2018-06-08,0.0
2018-06-11,1.0
2018-06-12,0.25095097865300164
2018-06-13,1.0
2018-06-14,1.0
2018-06-15,0.30735645168976056
2018-06-18,1.0
2018-06-19,1.0
2018-06-20,0.4566705073587435
2018-06-21,0.4484158573067736
2018-06-22,1.0
2018-06-25,1.0
2018-06-26,0.48816046523012147
2018-06-27,0.5121441844577985
2018-06-28,1.0
2018-06-29,0.7804766337865591
2018-07-02,0.443472966901283
2018-07-03,0.7966440095159605
2018-07-04,0.5618068702772732
2018-07-05,0.4125428829101935
2018-07-06,0.4813618943827158
2018-07-09,0.0
2018-07-10,1.0
2018-07-11,0.6442770805057346
2018-07-12,0.3396298769699677
2018-07-13,1.0
2018-07-16,0.6630530338897537
2018-07-17,0.0
2018-07-18,1.0
2018-07-19,0.3848314298423222
2018-07-20,0.0
2018-07-23,1.0
2018-07-24,1.0
2018-07-25,0.4823105402074538
2018-07-26,0.27216343127208964
2018-07-27,0.0
2018-07-30,0.25408000407291453
2018-07-31,1.0
2018-08-01,1.0
2018-08-02,1.0
2018-08-03,1.0
2018-08-06,1.0
2018-08-07,1.0
2018-08-08,1.0
2018-08-09,1.0
2018-08-10,1.0
2018-08-13,1.0
2018-08-14,1.0
2018-08-15,1.0
2018-08-16,0.0
2018-08-17,1.0
2018-08-20,1.0
2018-08-21,0.0
2018-08-22,1.0
2018-08-23,1.0
2018-08-24,1.0
2018-08-27,1.0
2018-08-28,1.0
2018-08-29,1.0
2018-08-30,1.0
2018-08-31,1.0
2018-09-04,1.0
2018-09-05,1.0
2018-09-06,1.0
2018-09-07,1.0
2018-09-10,1.0
2018-09-11,1.0
2018-09-12,1.0
2018-09-13,1.0
2018-09-14,1.0
2018-09-17,1.0
2018-09-18,1.0
2018-09-19,1.0
2018-09-20,1.0
2018-09-21,1.0
2018-09-24,1.0
2018-09-25,1.0
2018-09-26,1.0
2018-09-27,1.0
2018-09-28,1.0
2018-10-01,1.0
2018-10-02,1.0
2018-10-03,1.0
2018-10-04,1.0
2018-10-05,1.0
2018-10-08,1.0
2018-10-09,1.0
2018-10-10,1.0
2018-10-11,1.0
2018-10-12,1.0
2018-10-15,1.0
2018-10-16,1.0
2018-10-17,1.0
2018-10-18,1.0
2018-10-19,1.0
2018-10-22,1.0
2018-10-23,1.0
2018-10-24,1.0
2018-10-25,1.0
2018-10-26,1.0
2018-10-29,1.0
2018-10-30,1.0
2018-10-31,1.0
2018-11-01,1.0
2018-11-02,1.0
2018-11-05,1.0
2018-11-06,1.0
2018-11-07,1.0
2018-11-08,1.0
2018-11-09,1.0
2018-11-12,1.0
2018-11-13,1.0
2018-11-14,0.7801936079345588
2018-11-15,1.0
2018-11-16,0.3956574625197157
2018-11-19,1.0
2018-11-20,1.0
2018-11-21,1.0
2018-11-22,0.0
2018-11-23,0.5101983776061465
2018-11-26,1.0
2018-11-27,0.597529076168313
2018-11-28,1.0
2018-11-29,1.0
2018-11-30,0.2749684610698122
2018-12-03,1.0
2018-12-04,0.3723689393689822
2018-12-05,1.0
2018-12-06,0.6116038109739417
2018-12-07,0.7308354814926201
2018-12-10,0.7360406481088773
2018-12-11,0.6802127675487236
2018-12-12,0.7562983477369181
2018-12-13,0.3496632358813858
2018-12-14,0.4624468128447141
2018-12-17,0.22894080578231202
2018-12-18,1.0
2018-12-19,0.0
2018-12-20,1.0
2018-12-21,0.6987600677449897
2018-12-24,1.0
2018-12-25,0.0
2018-12-26,0.0
2018-12-27,1.0
2018-12-28,1.0
2019-01-02,0.0
