date,weight
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-26,1.0
2018-04-27,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-04,1.0
2018-05-07,0.29695390743819905
2018-05-08,1.0
2018-05-09,0.0
2018-05-10,1.0
2018-05-11,0.0
2018-05-14,1.0
2018-05-15,0.38257261081239524
2018-05-16,0.0
2018-05-17,0.0
2018-05-18,0.0
2018-05-21,0.0
2018-05-22,0.3383218608320975
2018-05-23,0.0
2018-05-24,1.0
2018-05-25,0.0
2018-05-28,1.0
2018-05-29,0.7273781907942508
2018-05-30,0.0
2018-05-31,1.0
2018-06-01,0.44215290655730277
2018-06-04,0.0
2018-06-05,0.2476517425442002
2018-06-06,0.0
2018-06-07,1.0
2018-06-08,0.27895542091206005
2018-06-11,1.0
2018-06-12,0.0
2018-06-13,0.0
2018-06-14,0.0
2018-06-15,0.27367923214286827
2018-06-18,0.693560673737488
2018-06-19,0.0
2018-06-20,1.0
2018-06-21,1.0
2018-06-22,1.0
2018-06-25,0.7454945848070968
2018-06-26,0.0
2018-06-27,1.0
2018-06-28,1.0
2018-06-29,1.0
2018-07-02,1.0
2018-07-03,1.0
2018-07-04,1.0
2018-07-05,1.0
2018-07-06,1.0
2018-07-09,1.0
2018-07-10,1.0
2018-07-11,1.0
2018-07-12,1.0
2018-07-13,1.0
2018-07-16,1.0
2018-07-17,1.0
2018-07-18,0.7829482908570046
2018-07-19,1.0
2018-07-20,0.651594296948466
2018-07-23,0.3776172669799919
2018-07-24,1.0
2018-07-25,0.348255259714941
2018-07-26,0.5621538069937018
2018-07-27,0.6283650794897426
2018-07-30,1.0
2018-07-31,1.0
2018-08-01,0.48820242297563643
2018-08-02,0.3590511614014299
2018-08-03,0.34699258306522796
2018-08-06,0.3235909665470399
2018-08-07,0.7456955504917687
2018-08-08,1.0
2018-08-09,0.5493334261827145
2018-08-10,0.6238351676630053
2018-08-13,0.33678651763262235
2018-08-14,0.31590926709455225
2018-08-15,0.0
2018-08-16,1.0
2018-08-17,1.0
2018-08-20,0.32862049511496205
2018-08-21,0.0
2018-08-22,1.0
2018-08-23,0.4077379550488651
2018-08-24,0.47024057825492616
2018-08-27,0.3956814210737132
2018-08-28,0.0
2018-08-29,0.7537061543859171
2018-08-30,1.0
2018-08-31,0.5708292350303026
2018-09-04,0.27508587572124843
2018-09-05,0.3307609422536356
2018-09-06,0.2253541461722336
2018-09-07,1.0
2018-09-10,0.4457145333622248
2018-09-11,0.31377524325299455
2018-09-12,0.5573184483550884
2018-09-13,0.5680042888267691
2018-09-14,0.0
2018-09-17,0.3919225128744499
2018-09-18,1.0
2018-09-19,0.0
2018-09-20,1.0
2018-09-21,1.0
2018-09-24,1.0
2018-09-25,1.0
2018-09-26,0.0
2018-09-27,1.0
2018-09-28,1.0
2018-10-01,1.0
2018-10-02,1.0
2018-10-03,1.0
2018-10-04,1.0
2018-10-05,1.0
2018-10-08,0.0
2018-10-09,1.0
2018-10-10,1.0
2018-10-11,0.0
2018-10-12,1.0
2018-10-15,1.0
2018-10-16,1.0
2018-10-17,1.0
2018-10-18,1.0
2018-10-19,1.0
2018-10-22,1.0
2018-10-23,1.0
2018-10-24,1.0
2018-10-25,1.0
2018-10-26,1.0
2018-10-29,1.0
2018-10-30,1.0
2018-10-31,1.0
2018-11-01,1.0
2018-11-02,1.0
2018-11-05,1.0
2018-11-06,1.0
2018-11-07,1.0
2018-11-08,1.0
2018-11-09,1.0
2018-11-12,1.0
2018-11-13,1.0
2018-11-14,1.0
2018-11-15,1.0
2018-11-16,1.0
2018-11-19,1.0
2018-11-20,1.0
2018-11-21,1.0
2018-11-22,1.0
2018-11-23,1.0
2018-11-26,1.0
2018-11-27,1.0
2018-11-28,1.0
2018-11-29,1.0
2018-11-30,1.0
2018-12-03,1.0
2018-12-04,1.0
2018-12-05,1.0
2018-12-06,1.0
2018-12-07,1.0
2018-12-10,1.0
2018-12-11,1.0
2018-12-12,1.0
2018-12-13,1.0
2018-12-14,1.0
2018-12-17,1.0
2018-12-18,1.0
2018-12-19,1.0
2018-12-20,1.0
2018-12-21,1.0
2018-12-24,1.0
2018-12-25,1.0
2018-12-26,1.0
2018-12-27,1.0
2018-12-28,1.0
2019-01-02,1.0
2019-01-03,1.0
2019-01-04,1.0
