date,weight
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-26,1.0
2018-04-27,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-04,1.0
2018-05-07,0.6325551209612528
2018-05-08,0.538478588294689
2018-05-09,0.0
2018-05-10,1.0
2018-05-11,0.44198942114661
2018-05-14,0.22457399027558267
2018-05-15,0.48823001280299083
2018-05-16,0.22498091311830404
2018-05-17,0.0
2018-05-18,1.0
2018-05-21,1.0
2018-05-22,0.0
2018-05-23,0.0
2018-05-24,1.0
2018-05-25,0.0
2018-05-28,0.0
2018-05-29,0.0
2018-05-30,1.0
2018-05-31,1.0
2018-06-01,0.0
2018-06-04,0.0
2018-06-05,0.0
2018-06-06,0.4317370573439272
2018-06-07,0.0
2018-06-08,1.0
2018-06-11,1.0
2018-06-12,0.6898380677917596
2018-06-13,0.68017843328712
2018-06-14,1.0
2018-06-15,1.0
2018-06-18,1.0
2018-06-19,0.619160617421305
2018-06-20,0.23908393806452333
2018-06-21,1.0
2018-06-22,1.0
2018-06-25,1.0
2018-06-26,1.0
2018-06-27,1.0
2018-06-28,1.0
2018-06-29,1.0
2018-07-02,1.0
2018-07-03,0.7330399151485956
2018-07-04,0.5033168846538404
2018-07-05,0.6569330650171208
2018-07-06,1.0
2018-07-09,0.5634075059826892
2018-07-10,0.7039672547196518
2018-07-11,1.0
2018-07-12,0.34545607789639365
2018-07-13,1.0
2018-07-16,0.5180630620610793
2018-07-17,0.2228677324766809
2018-07-18,0.5341408995672853
2018-07-19,0.5517687538491616
2018-07-20,1.0
2018-07-23,0.5915245892358216
2018-07-24,1.0
2018-07-25,1.0
2018-07-26,0.6034800591006302
2018-07-27,0.7265719607412815
2018-07-30,1.0
2018-07-31,0.20219390213927968
2018-08-01,1.0
2018-08-02,1.0
2018-08-03,1.0
2018-08-06,1.0
2018-08-07,1.0
2018-08-08,0.7769196419166644
2018-08-09,0.6565841455830963
2018-08-10,0.3716236853763297
2018-08-13,1.0
2018-08-14,1.0
2018-08-15,1.0
2018-08-16,1.0
2018-08-17,1.0
2018-08-20,1.0
2018-08-21,1.0
2018-08-22,1.0
2018-08-23,0.6080158946123881
2018-08-24,1.0
2018-08-27,1.0
2018-08-28,1.0
2018-08-29,1.0
2018-08-30,1.0
2018-08-31,1.0
2018-09-04,0.7766947920489824
2018-09-05,1.0
2018-09-06,0.7375302568713065
2018-09-07,1.0
2018-09-10,1.0
2018-09-11,1.0
2018-09-12,1.0
2018-09-13,1.0
2018-09-14,1.0
2018-09-17,1.0
2018-09-18,1.0
2018-09-19,1.0
2018-09-20,1.0
2018-09-21,1.0
2018-09-24,1.0
2018-09-25,1.0
2018-09-26,1.0
2018-09-27,1.0
2018-09-28,1.0
2018-10-01,1.0
2018-10-02,1.0
2018-10-03,1.0
2018-10-04,1.0
2018-10-05,1.0
2018-10-08,1.0
2018-10-09,1.0
2018-10-10,1.0
2018-10-11,1.0
2018-10-12,0.7965208378831997
2018-10-15,1.0
2018-10-16,1.0
2018-10-17,1.0
2018-10-18,1.0
2018-10-19,1.0
2018-10-22,1.0
2018-10-23,1.0
2018-10-24,1.0
2018-10-25,1.0
2018-10-26,0.5385040509045658
2018-10-29,0.4607098050201963
2018-10-30,1.0
2018-10-31,1.0
2018-11-01,1.0
2018-11-02,1.0
2018-11-05,1.0
2018-11-06,1.0
2018-11-07,1.0
2018-11-08,1.0
2018-11-09,1.0
2018-11-12,0.7980825341917555
2018-11-13,0.6866709652049037
2018-11-14,0.585094416157528
2018-11-15,0.6654860635701298
2018-11-16,1.0
2018-11-19,1.0
2018-11-20,0.541072195716076
2018-11-21,1.0
2018-11-22,1.0
2018-11-23,1.0
2018-11-26,1.0
2018-11-27,1.0
2018-11-28,1.0
2018-11-29,0.7729937263615085
2018-11-30,1.0
2018-12-03,0.4519967356960306
2018-12-04,1.0
2018-12-05,0.7202207568405636
2018-12-06,1.0
2018-12-07,1.0
2018-12-10,0.7003054143435401
2018-12-11,0.6121793889923717
2018-12-12,1.0
2018-12-13,1.0
2018-12-14,0.4159110170005532
2018-12-17,1.0
2018-12-18,0.714528892356349
2018-12-19,0.0
2018-12-20,1.0
2018-12-21,0.6460817995430435
2018-12-24,0.0
2018-12-25,1.0
2018-12-26,0.0
2018-12-27,0.0
2018-12-28,1.0
